Sublanço,Hora,Probabilidade incidência,n_incidencias_ano
Estoril - Alcabideche (A5/A16),14,0.032876712,16
Linda-a-Velha - Estádio Nacional,20,0.098630137,45
Carcavelos - Estoril,11,0.073972603,30
Alcabideche (A5/A16) - Alvide,17,0.01369863,6
Cruz das Oliveiras - Monsanto,20,0.104109589,49
Viaduto Duarte Pacheco - Cruz das Oliveiras,20,0.123287671,56
Oeiras - Carcavelos,23,0.052054795,22
Estádio Nacional - Oeiras,13,0.104109589,41
Carcavelos - Estoril,23,0.063013699,23
Cruz das Oliveiras - Monsanto,8,0.068493151,29
Cruz das Oliveiras - Monsanto,9,0.153424658,65
Estoril - Alcabideche (A5/A16),13,0.057534247,21
Cruz das Oliveiras - Monsanto,15,0.087671233,36
Carcavelos - Estoril,16,0.101369863,42
Monsanto - Miraflores (A5/IC17),0,0.024657534,9
Viaduto Duarte Pacheco - Cruz das Oliveiras,2,0.049315068,20
Cruz das Oliveiras - Monsanto,2,0.038356164,18
Oeiras - Carcavelos,4,0.016438356,6
Alvide - Cascais,10,0.035616438,14
Monsanto - Miraflores (A5/IC17),13,0.035616438,17
Viaduto Duarte Pacheco - Cruz das Oliveiras,23,0.068493151,29
Miraflores (A5/IC17) - Linda-a-Velha,0,0.04109589,17
Alcabideche (A5/A16) - Alvide,9,0.008219178,3
Miraflores (A5/IC17) - Linda-a-Velha,11,0.082191781,42
Monsanto - Miraflores (A5/IC17),11,0.046575342,23
Alcabideche (A5/A16) - Alvide,11,0.010958904,4
Oeiras - Carcavelos,13,0.126027397,52
Cruz das Oliveiras - Monsanto,13,0.082191781,42
Oeiras - Carcavelos,14,0.139726027,56
Alvide - Cascais,21,0.010958904,4
Miraflores (A5/IC17) - Linda-a-Velha,22,0.065753425,29
Cruz das Oliveiras - Monsanto,11,0.098630137,45
Estádio Nacional - Oeiras,17,0.104109589,45
Estoril - Alcabideche (A5/A16),7,0.032876712,13
Alcabideche (A5/A16) - Alvide,18,0.021917808,10
Estoril - Alcabideche (A5/A16),9,0.035616438,14
Carcavelos - Estoril,9,0.057534247,22
