,Numero Voltas,Turno,Sequência,Nó,Hora Inicio,Hora Fim,Tipo,kms
124,2,2,1,Nó Cruz das Oliveiras,1062,1077,Pausa,0
125,2,2,1,Nó Cruz das Oliveiras,1077,1082,Visitar Nó,0
126,2,2,0,Nó Viaduto Duarte Pacheco,1083,1083,Deslocação,1
127,2,2,0,Nó Viaduto Duarte Pacheco,1083,1083,Deslocação,1
128,2,2,0,Nó Viaduto Duarte Pacheco,1083,1098,Visitar Nó,0
129,2,2,1,Nó Cruz das Oliveiras,1099,1099,Deslocação,1
130,2,2,1,Nó Cruz das Oliveiras,1099,1104,Visitar Nó,0
131,2,2,2,Nó de Monsanto,1111,1111,Deslocação,7
132,2,2,2,Nó de Monsanto,1111,1125,Visitar Nó,0
133,2,2,3,Nó de Miraflores (A5/IC17),1126,1126,Deslocação,1
134,2,2,3,Nó de Miraflores (A5/IC17),1126,1136,Visitar Nó,0
135,2,2,4,Nó de Linda-a-Velha,1137,1137,Deslocação,1
136,2,2,4,Nó de Linda-a-Velha,1137,1150,Visitar Nó,0
137,2,2,5,Nó Estádio Nacional,1153,1153,Deslocação,3
138,2,2,5,Nó Estádio Nacional,1153,1181,Visitar Nó,0
139,2,2,5,Nó Estádio Nacional,1181,1191,Vistoria,0
140,2,2,6,Nó de Oeiras,1194,1194,Deslocação,3
141,2,2,6,Nó de Oeiras,1194,1203,Visitar Nó,0
142,2,2,7,Nó de Carcavelos,1206,1206,Deslocação,3
143,2,2,7,Nó de Carcavelos,1206,1266,Pausa,0
144,2,2,7,Nó de Carcavelos,1266,1266,Deslocação,3
145,2,2,7,Nó de Carcavelos,1266,1279,Visitar Nó,0
146,2,2,6,Nó de Oeiras,1282,1282,Deslocação,3
147,2,2,6,Nó de Oeiras,1282,1343.5,Espera,0
148,2,2,5,Nó Estádio Nacional,1346.5,1346.5,Deslocação,3
149,2,2,4,Nó de Linda-a-Velha,1349.5,1349.5,Deslocação,3
150,2,2,3,Nó de Miraflores (A5/IC17),1350.5,1350.5,Deslocação,1
151,2,2,2,Nó de Monsanto,1351.5,1351.5,Deslocação,1
152,2,2,1,Nó Cruz das Oliveiras,1358.5,1358.5,Deslocação,7
153,2,2,1,Nó Cruz das Oliveiras,1358.5,1420,Espera,0
154,2,2,0,Nó Viaduto Duarte Pacheco,1421,1421,Deslocação,1
155,2,2,0,Nó Viaduto Duarte Pacheco,1421,1421,Deslocação,1
156,2,2,1,Nó Cruz das Oliveiras,1422,1422,Deslocação,1
157,2,2,2,Nó de Monsanto,1429,1429,Deslocação,7
158,2,2,3,Nó de Miraflores (A5/IC17),1430,1430,Deslocação,1
159,2,2,4,Nó de Linda-a-Velha,1431,1431,Deslocação,1
160,2,2,5,Nó Estádio Nacional,1434,1434,Deslocação,3
161,2,2,6,Nó de Oeiras,1437,1437,Deslocação,3
162,2,2,7,Nó de Carcavelos,1440,1440,Deslocação,3
163,2,2,7,Nó de Carcavelos,1440,1440,Deslocação,3
164,2,2,7,Nó de Carcavelos,1440,1440,Deslocação,3
