,Número Voltas,Turno,Tempo Médio de Resposta
0,1,0,8.242424242424242
1,1,1,8.853658536585366
2,1,2,14.75
3,2,0,8.838709677419354
4,2,1,9.044444444444444
5,2,2,10.714285714285714
6,3,0,8.256410256410257
7,3,1,9.80952380952381
8,3,2,10.0
9,4,0,7.155555555555556
10,4,1,9.783783783783784
11,4,2,11.0
