Stop Start,Stop End,Lat Start,Long Start,Lat End,Long End,Distance (km),Duration (min)
Portagem,Estarreja,40.68924722,-8.523961111,40.78236382,-8.544700822,13,9
Portagem,Aveiro Sul,40.68924722,-8.523961111,40.56379544,-8.561086614,67,38
Portagem,Feira,40.68924722,-8.523961111,40.93107064,-8.569931162,30,17
Portagem,Espinho (IC24),40.68924722,-8.523961111,41.00603673,-8.582256038,39,22
Portagem,Feiteira,40.68924722,-8.523961111,41.04830372,-8.571150958,44,25
Portagem,Carvalhos,40.68924722,-8.523961111,41.07289744,-8.580874642,47,27
Portagem,Jaca,40.68924722,-8.523961111,41.08855679,-8.585936813,49,28
Portagem,Santo Ovídio,40.68924722,-8.523961111,41.08855679,-8.585936813,49,28
Estarreja,Coimbra Norte (A1/A14),40.78236382,-8.544700822,40.26903044,-8.483327664,113,60
Estarreja,Coimbra Sul,40.78236382,-8.544700822,40.18951372,-8.488160602,122,65
Estarreja,Mealhada,40.78236382,-8.544700822,40.37286613,-8.493435181,112,62
Estarreja,Albergaria (A1/IP5),40.78236382,-8.544700822,40.70489581,-8.522044976,52,31
Estarreja,Portagem,40.78236382,-8.544700822,40.68924722,-8.523961111,50,30
Estarreja,Estarreja,40.78236382,-8.544700822,40.78236382,-8.544700822,0,0
Estarreja,Aveiro Sul,40.78236382,-8.544700822,40.56379544,-8.561086614,111,60
Estarreja,Feira,40.78236382,-8.544700822,40.93107064,-8.569931162,17,8
Estarreja,Espinho (IC24),40.78236382,-8.544700822,41.00603673,-8.582256038,26,13
Estarreja,Feiteira,40.78236382,-8.544700822,41.04830372,-8.571150958,31,16
Estarreja,Carvalhos,40.78236382,-8.544700822,41.07289744,-8.580874642,34,18
Estarreja,Jaca,40.78236382,-8.544700822,41.08855679,-8.585936813,36,19
Estarreja,Santo Ovídio,40.78236382,-8.544700822,41.08855679,-8.585936813,36,19
Aveiro Sul,Coimbra Norte (A1/A14),40.56379544,-8.561086614,40.26903044,-8.483327664,55,30
Aveiro Sul,Coimbra Sul,40.56379544,-8.561086614,40.18951372,-8.488160602,63,35
Aveiro Sul,Mealhada,40.56379544,-8.561086614,40.37286613,-8.493435181,54,32
Aveiro Sul,Albergaria (A1/IP5),40.56379544,-8.561086614,40.70489581,-8.522044976,17,9
Aveiro Sul,Portagem,40.56379544,-8.561086614,40.68924722,-8.523961111,20,13
Aveiro Sul,Estarreja,40.56379544,-8.561086614,40.78236382,-8.544700822,26,13
Aveiro Sul,Aveiro Sul,40.56379544,-8.561086614,40.56379544,-8.561086614,0,0
Aveiro Sul,Feira,40.56379544,-8.561086614,40.93107064,-8.569931162,43,22
Aveiro Sul,Espinho (IC24),40.56379544,-8.561086614,41.00603673,-8.582256038,52,26
Aveiro Sul,Feiteira,40.56379544,-8.561086614,41.04830372,-8.571150958,57,29
Aveiro Sul,Carvalhos,40.56379544,-8.561086614,41.07289744,-8.580874642,60,31
Aveiro Sul,Jaca,40.56379544,-8.561086614,41.08855679,-8.585936813,62,32
Aveiro Sul,Santo Ovídio,40.56379544,-8.561086614,41.08855679,-8.585936813,62,32
Feira,Coimbra Norte (A1/A14),40.93107064,-8.569931162,40.26903044,-8.483327664,115,61
Feira,Coimbra Sul,40.93107064,-8.569931162,40.18951372,-8.488160602,123,66
Feira,Mealhada,40.93107064,-8.569931162,40.37286613,-8.493435181,114,62
Feira,Albergaria (A1/IP5),40.93107064,-8.569931162,40.70489581,-8.522044976,54,32
Feira,Portagem,40.93107064,-8.569931162,40.68924722,-8.523961111,51,31
Feira,Estarreja,40.93107064,-8.569931162,40.78236382,-8.544700822,63,37
Feira,Aveiro Sul,40.93107064,-8.569931162,40.56379544,-8.561086614,113,61
Feira,Feira,40.93107064,-8.569931162,40.93107064,-8.569931162,0,0
Feira,Espinho (IC24),40.93107064,-8.569931162,41.00603673,-8.582256038,9,5
Feira,Feiteira,40.93107064,-8.569931162,41.04830372,-8.571150958,14,8
Feira,Carvalhos,40.93107064,-8.569931162,41.07289744,-8.580874642,17,9
Feira,Jaca,40.93107064,-8.569931162,41.08855679,-8.585936813,19,11
