Stop Start,Stop End,Lat Start,Long Start,Lat End,Long End
Nó de Monsanto,Nó A9/A16,38.71960798,-9.209900182,38.76849891,-9.268702771
Nó de Monsanto,Nó Radial da Pontinha,38.71960798,-9.209900182,38.7845551,-9.242929469
Nó de Monsanto,Nó Radial de Odivelas,38.71960798,-9.209900182,38.82468012,-9.192526726
Nó de Monsanto,Nó A9/A8,38.71960798,-9.209900182,38.85316867,-9.171412221
Nó de Monsanto,Nó de Bucelas (Zambujal),38.71960798,-9.209900182,38.86746531,-9.143068282
Nó de Monsanto,Nó A9/A10,38.71960798,-9.209900182,38.90771835,-9.077247376
Nó de Monsanto,Nó de Alverca,38.71960798,-9.209900182,38.89293583,-9.048121375
Nó de Miraflores (A5/IC17),Nó Viaduto Duarte Pacheco,38.7168212,-9.220638205,38.72361405,-9.177117052
Nó de Miraflores (A5/IC17),Nó Cruz das Oliveiras,38.7168212,-9.220638205,38.70798737,-9.339136704
Nó de Miraflores (A5/IC17),Nó de Monsanto,38.7168212,-9.220638205,38.71960798,-9.209900182
Nó de Miraflores (A5/IC17),Nó de Miraflores (A5/IC17),38.7168212,-9.220638205,38.7168212,-9.220638205
Nó de Miraflores (A5/IC17),Nó de Linda-a-Velha,38.7168212,-9.220638205,38.72091034,-9.242324413
Nó de Miraflores (A5/IC17),Nó Estádio Nacional,38.7168212,-9.220638205,38.71368991,-9.261576695
Nó de Miraflores (A5/IC17),Nó de Oeiras,38.7168212,-9.220638205,38.71245993,-9.306240464
Nó de Miraflores (A5/IC17),Nó de Carcavelos,38.7168212,-9.220638205,38.70798737,-9.339136704
Nó de Miraflores (A5/IC17),Nó do Estoril,38.7168212,-9.220638205,38.71805517,-9.39196317
Nó de Miraflores (A5/IC17),Nó de Alcabideche,38.7168212,-9.220638205,38.72736771,-9.420983178
Nó de Miraflores (A5/IC17),Nó de Alvide,38.7168212,-9.220638205,38.72736771,-9.420983178
Nó de Miraflores (A5/IC17),Nó de Cascais,38.7168212,-9.220638205,38.72179904,-9.442793126
Nó de Miraflores (A5/IC17),Nó do Estádio Nacional 3,38.7168212,-9.220638205,38.70939121,-9.263853108
Nó de Miraflores (A5/IC17),Nó do Estádio Nacional (A5/A9),38.7168212,-9.220638205,38.71747539,-9.269467602
Nó de Miraflores (A5/IC17),Nó de Queluz,38.7168212,-9.220638205,38.74240685,-9.275880729
Nó de Miraflores (A5/IC17),Nó A9/A16,38.7168212,-9.220638205,38.76849891,-9.268702771
Nó de Miraflores (A5/IC17),Nó Radial da Pontinha,38.7168212,-9.220638205,38.7845551,-9.242929469
Nó de Miraflores (A5/IC17),Nó Radial de Odivelas,38.7168212,-9.220638205,38.82468012,-9.192526726
Nó de Miraflores (A5/IC17),Nó A9/A8,38.7168212,-9.220638205,38.85316867,-9.171412221
Nó de Miraflores (A5/IC17),Nó de Bucelas (Zambujal),38.7168212,-9.220638205,38.86746531,-9.143068282
Nó de Miraflores (A5/IC17),Nó A9/A10,38.7168212,-9.220638205,38.90771835,-9.077247376
Nó de Miraflores (A5/IC17),Nó de Alverca,38.7168212,-9.220638205,38.89293583,-9.048121375
Nó de Linda-a-Velha,Nó Viaduto Duarte Pacheco,38.72091034,-9.242324413,38.72361405,-9.177117052
Nó de Linda-a-Velha,Nó Cruz das Oliveiras,38.72091034,-9.242324413,38.70798737,-9.339136704
Nó de Linda-a-Velha,Nó de Monsanto,38.72091034,-9.242324413,38.71960798,-9.209900182
Nó de Linda-a-Velha,Nó de Miraflores (A5/IC17),38.72091034,-9.242324413,38.7168212,-9.220638205
Nó de Linda-a-Velha,Nó de Linda-a-Velha,38.72091034,-9.242324413,38.72091034,-9.242324413
Nó de Linda-a-Velha,Nó Estádio Nacional,38.72091034,-9.242324413,38.71368991,-9.261576695
Nó de Linda-a-Velha,Nó de Oeiras,38.72091034,-9.242324413,38.71245993,-9.306240464
Nó de Linda-a-Velha,Nó de Carcavelos,38.72091034,-9.242324413,38.70798737,-9.339136704
Nó de Linda-a-Velha,Nó do Estoril,38.72091034,-9.242324413,38.71805517,-9.39196317
Nó de Linda-a-Velha,Nó de Alcabideche,38.72091034,-9.242324413,38.72736771,-9.420983178
Nó de Linda-a-Velha,Nó de Alvide,38.72091034,-9.242324413,38.72736771,-9.420983178
Nó de Linda-a-Velha,Nó de Cascais,38.72091034,-9.242324413,38.72179904,-9.442793126
Nó de Linda-a-Velha,Nó do Estádio Nacional 3,38.72091034,-9.242324413,38.70939121,-9.263853108
Nó de Linda-a-Velha,Nó do Estádio Nacional (A5/A9),38.72091034,-9.242324413,38.71747539,-9.269467602
