,No.Voltas,Turno,Carro,C.O.,Tempo_Resolucao_Incid,Tempo_Desloc_Incid,Tempo_Nos,Tempo_Patrulha,Temp_CO_Rota:,Tempo_Total,Tempo_Abertura,Nós,Extensoes_consideradas,Sentido,Auto Estradas
21,1,2,21,Cartaxo,0.5403401093780822,0.04260273945,3.8333333333333335,1.87375,0.0,6.290026182161416,6.75,"[10.0, 20, 20, 20, 20, 30, 100, 10.0]","[27.015, 1.185, 8.08, 11.286, 15.516, 0.868, 11.0]",Sequência AE_1,A1 + A10
22,1,2,22,Carregado,0.5230381308757991,0.03917808179999999,3.0,2.6414999999999993,0.3333333333333333,6.537049546009132,6.75,"[10.0, 40, 40, 20, 40, 20, 10.0]","[6.9, 32.4, 51.525, 3.975, 3.4, 7.46]",Sequência AE_1,A10 + A1
23,1,2,23,Carregado,0.22439095225159814,0.00986301365,1.1666666666666667,0.326,3.066666666666667,4.7935872992349315,6.75,"[10.0, 20, 20, 20]","[6.24, 2.95, 3.85]",Sequência AE_1,A1
24,2,0,0,Feira,2.308691702757534,0.09205479450000002,1.8333333333333333,1.0837,0.0,5.317779830590867,6.75,"[20, 20, 20, 20, 20, 10.0]","[1.839, 2.745, 3.37, 3.92, 9.8]",Sequência AE_1,A1
25,2,0,1,Feira,1.9365004520849316,0.47872146126666665,1.0,2.102,0.0,5.517221913351599,6.75,"[10.0, 20, 20, 10.0]","[16.832, 10.428, 14.78]",Sequência AE_1,A1
26,2,0,2,Mealhada,0.7529743150684932,0.10356164355,0.6666666666666666,1.7670000000000001,0.0,3.29020262528516,6.75,"[10.0, 20, 10.0]","[23.633, 11.707]",Sequência AE_1,A1
27,2,0,3,Leiria,0.4413124306283105,0.019543378999999996,2.75,2.0500000000000003,0.0,5.2608558096283105,6.75,"[10.0, 20, 20, 20, 20, 20, 20, 20, 15.0]","[1.1, 5.5, 9.6, 8.0, 4.8, 7.2, 1.6, 3.2]",Sequência AE_1,A1 + A14
28,2,0,4,Leiria,0.9838729240452054,0.18721461193333333,1.25,3.5014499999999997,0.0,5.922537535978538,6.75,"[15.0, 20, 30, 10.0]","[49.303, 7.681, 13.045]",Sequência AE_1,A14 + A1
29,2,0,5,Leiria,1.983584285397717,0.7536529681333334,1.1666666666666667,2.7018,0.0,6.605703920197716,6.75,"[10.0, 20, 30, 10.0]","[14.736, 24.065, 15.235]",Sequência AE_1,A1
30,2,0,6,Cartaxo,1.3974544519319634,0.7322831051666667,1.0,2.4262500000000005,0.0,5.55598755709863,6.75,"[10.0, 20, 20, 10.0]","[20.325, 27.015, 1.185]",Sequência AE_1,A1
31,2,0,7,Cartaxo,1.5552182499150684,0.17917808175,2.1666666666666665,1.7875,0.0,5.688562998331735,6.75,"[10.0, 20, 20, 30, 50.0]","[8.08, 11.286, 15.516, 0.868]",Sequência AE_1,A1
